reviewHeadline,authorJobLocation,reviewDescription,company,compensationAndBenefitsRating,authorJob,cultureAndValuesRating,workLifeBalanceRating,careerOpportunitiesRating,seniorLeadershipRating,reviewDate
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
Agréable quand on va dans le sens de la hiérarchie,Champigny-sur-Marne (94),"il est agréable de travailler chez BNP Paribas mais dès que notre projet personnel prend le dessus sur le professionnel, cela ne convient pas forcément à la hiérarchie et ses plans de carrière.",BNP Paribas,4.0,"Conseiller clientèle (Ancien employé), ",2.0,4.0,4.0,2.0,25 novembre 2015
Bon environnement de travail,"Paris, Montreuil","J'y travaillais beaucoup, mais avec des personnes compétentes.",BNP Paribas,0.0,"Consultant (Ancien employé), ",0.0,0.0,0.0,0.0,24 novembre 2015
AMOA GED dematérialisation,"Paris, A8","Equipe  sympa.,Ambiance correcte,Envoi de flux xml pour la reconnaissance documentaire et gestion des flux workflox.,RAD, LAD et workflow",BNP Paribas,4.0,"Consultant AMOA GED-Dématérialisation (Employé actuel), ",1.0,4.0,1.0,1.0,21 novembre 2015
stage agréable,"Rueil-Malmaison, A8","Stage d'été agréable, des premières missions adaptées au niveau d'étude.",BNP Paribas,0.0,"Auxiliaire d'été (Ancien employé), ",0.0,0.0,0.0,0.0,3 novembre 2015
emploi,val d oise et oise,"periode trop courte pour en juger.,Mais bonne experience,Bon retour",BNP Paribas,2.0,"accueil clientele (Ancien employé), ",2.0,2.0,2.0,2.0,24 octobre 2015
environnement de travail agréable,joinville le pont,"à l'agence de joinville le pont, l'environnement de travail était très agréable, une équipe jeune et soudé avec un très bonne état d'esprit.",BNP Paribas,3.0,"Gestion de l'accueil (Ancien employé), ",3.0,4.0,2.0,3.0,16 octobre 2015
Expérience professionnel très agréable,Montreuil,"Ma journée consistait à effectuer une surveillance et un compte rendu de toutes les alertes générées par les différentes applications,que gère la société BNP Paribas. Ainsi que de traiter tous les incidents de niveau 1 et d'escalader les autres aux différents pôles en charge.,Le management à toujours été très à l'écoute et ma apprit beaucoup.,J'ai toujours eu la chance de travailler avec de bon collaborateur, toujours disponible et prêt à aider l'équipe.,L'aspect le plus difficile dans mon poste, est pour moi la pression que cela génère. Quand à l'aspect le plus agréable est de se sentir utile et de pouvoir apprendre toujours de nouvelles choses.",BNP Paribas,4.0,"Technicien D'exploitation (Ancien employé), ",5.0,4.0,4.0,5.0,7 octobre 2015
Bonne ambiance générale,Paris,"Au sein de la BNP Paribas, j'ai eu la chance d'être sous la tutelle de collaborateurs talentueux et avec une vraie envie de transmettre leurs savoir-faire. Ainsi, je me suis facilement intégrer dans la société et j'ai pu très vite commencer à effectuer des tâches passionnantes tel que le mailing interne (collaborateurs) et externe ainsi que la gestion des colis.,Le poste que j'ai occupé demande une grande rigueur et un sens de l'organisation, mais il permet d'acquérir une grande autonomie.",BNP Paribas,5.0,"Gestionnaire Administratif (Ancien employé), ",4.0,4.0,4.0,4.0,6 octobre 2015
cetelem,marseille,"Bonne entreprise,Très bonne ambiance au sein de l'entreprise",BNP Paribas,0.0,"Auxiliaire de vacances (Ancien employé), ",0.0,0.0,0.0,0.0,5 octobre 2015
Bon environnement de travail,Nanterre,"Le poste que j'occupe actuellement est transversal, les tâches sont diversifiées. ,La communication est basée sur la transparence avec le management. Il y a une collaboration positive et constructive avec les différents départements de la société. ,Le fait de travailler dans une petite équipe m'a permis d'acquérir une expérience technique dans différents domaines (actuariat, financier, contrôle de gestion, compliance, développement commercial...).,Au début, l'aspect le plus challenging dans ce poste était la transversalité. Il fallait comprendre les enjeux et les conséquences d'une prise de décision. Par exemple,dans le cas du développement commercial, il est important de comprendre la traduction comptable, juridique, capitalistique de cette prise de décision tout en respectant la compliance mise en place par le Groupe.",BNP Paribas,4.0,"Contrôleur Financier (Senior) (Ancien employé), ",4.0,4.0,3.0,4.0,29 septembre 2015
Environnement de travail agréable,Eauze,"Journée de travail agréable en globalité.,Personnel sympathique et qui met à l'aise.,Le poste en tant qu'hôtesse d'accueil est une responsabilité qui me plaît car j'aime être à l'écoute des gens, et pouvoir leur rendre service est pour moi important.,Le plus difficile dans ce poste est de s'adapter à certains types de clients qui ne sont pas facile, mais c'est une expérience que je voudrais renouveler avec grand plaisir.",BNP Paribas,4.0,"Hôtesse d'accueil (Ancien employé), ",4.0,4.0,4.0,4.0,29 septembre 2015
bonne conivence entre l'équipe et le travail,"Marseille, B8",Développement et formation qui sont des opportunités pour évoluer au sein de BNP Paribas.,BNP Paribas,4.0,"Gestion décompte - remboursement anticipé (Employé actuel), ",4.0,4.0,4.0,4.0,26 septembre 2015
Environment parfait pour apprendre,Issy Les Moulineaux,"-Rythme de travail soutenu et parfait pour le développement rapide,-Peu de formations et opportunités de développement mais bon « mentoring »,Le Management,-Management parfait,Collaborateurs,-Bon personnel ,Aspect difficile du poste,-Communication sur les objectifs,Vérification du travail et commentaires pertinent sur le niveau de travail",BNP Paribas,5.0,"Financial Analyst (Internship) (Ancien employé), ",4.0,5.0,5.0,5.0,23 septembre 2015
Environnement de Travail,Paris 9e,Excellente relation entre les différents services et les différents collaborateurs,BNP Paribas,5.0,"Chargé de Portefeuille Immobilier (Ancien employé), ",5.0,5.0,5.0,5.0,21 septembre 2015
Travail très intéressant,"Saint-Denis, A8","Préparation de la journée, préparer son poste de travail, s'occuper du courrier.,Ouverture de la banque et accueil de la clientèle.,Fermeture de l'agence et traitement du courrier.",BNP Paribas,0.0,"Conseiller clientèle (Ancien employé), ",0.0,0.0,0.0,0.0,18 septembre 2015
Journée typique,paris,Je suis très satisfait des journées de travail à BNP Paribas,BNP Paribas,4.0,"Analyste de performance de Portefeuille OPCVM (Ancien employé), ",4.0,5.0,3.0,4.0,15 septembre 2015
Travail agreable,Paris,"Analysis and writing of macroscopic impact studies., 	Developing CICS Cobol, 	Realization of functional and technical recipes., 	Technical and functional analysis., 	Troubleshooting, punctual work, recurring work, Delivery., 	Analysis and development in Cobol (TP, Batch)",BNP Paribas,0.0,"Analyst (Ancien employé), ",0.0,0.0,0.0,0.0,14 septembre 2015
agreable,Montreuil,"Les collègues sont gentils.,Travail pas dur,j'ai amélioré mes expériences professionels",BNP Paribas,5.0,"Stage (Ancien employé), ",5.0,5.0,5.0,5.0,9 septembre 2015
"Travail motivant, belle autonomie et équipe soudée.","Nanterre, A8","La charge de travail était importante mais j'ai énormément appris en étant chez Cardif alors que je partais de zéro. Ils ont su me donner ma chance.,L'ambiance était très agréable avec une belle convivialité.",BNP Paribas,4.0,"Juriste en assurance, distribution et corporate (Ancien employé), ",4.0,3.0,3.0,4.0,3 septembre 2015
Proximité aupès de la clientèle des particuliers,La Valette du Var,"J'étais en contrat de professionnalisation, en alternance.,Je gérais principalement un guichet avec espèces et m'occupais des opérations courantes de la clientèle des particuliers.",BNP Paribas,4.0,"Chargée de Clientèle des Particuliers (Ancien employé), ",3.0,3.0,4.0,2.0,27 août 2015
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
environnement de travail agréable,3 rue d'Antin (75002 Paris),"grosse société avec ses avantages et ses inconvénients. J'ai travaillé au 3 rue d'Antin à la Direction de la Communication. C'est un univers feutré où les relations sont courtoises.,J'ai participé à l'organisation des réunions FMI de Printemps à Washington.",BNP Paribas,2.0,"assistante Directeur de la Communication Groupe (Ancien employé), ",3.0,3.0,2.0,2.0,19 août 2015
BTS Banque,Nantes,"Peu de conseil, beaucoup de commercial. ,Bonne première expérience du monde du travail",BNP Paribas,5.0,"Conseiller clientèle et accueil (Ancien employé), ",4.0,2.0,4.0,4.0,7 août 2015
Poussé au chiffre,Paris SUD,"Normal car à la rentrée scolaire, période effective de travail, nous étions poussé au chiffre, mais travailler au sein des universités permet de faire de belles rencontres",BNP Paribas,5.0,"Commercial "" Jeune "" BNP Paribas (Ancien employé), ",5.0,5.0,3.0,5.0,6 août 2015
Bon accompagnement des alternants,"Rueil-Malmaison, A8",Chez BNP Paribas Cardif nous pouvons mettre en avant le bon accompagnement des alternants grâce aux tuteurs qui sont à l'écoute.,BNP Paribas,0.0,"Alternance rédacteur successions (Ancien employé), ",0.0,0.0,0.0,0.0,4 août 2015
Stage au sein de BNP Paribas Cergy,Cergy Pontoise,"J'ai effectué un stage de 3 mois au sein de la Succursale  de BNP Paribas de Cergy,,j'y ai découvert les métiers s'apparentant aux opérations de Banque de détail, ,notamment au sein du Pôle Expert Commercial,,avec les métiers relatifs à l'immobilier, l'expertise crédit, et le suivi des opérations commerciales.,Une expérience enrichissante dans ce qui fut mes premiers pas dans une institution financière.",BNP Paribas,4.0,"Stage en Animation Commerciale (Ancien employé), ",5.0,4.0,4.0,4.0,4 août 2015
Equipes agréables,"Mornant, B9",Prise en considération des salariés. Bonne cohésion d'équipe.,BNP Paribas,5.0,"CHARGÉE DE CLIENTÈLE EN ALTERNANCE (Ancien employé), ",4.0,4.0,3.0,5.0,30 juillet 2015
Un rythme intense,"L'Union, B3","Une journée de travail se compose par un morning brief, la gestion des débiteurs, les rendez-vous clients, des relances et opérations commerciales à réaliser, le traitement administratif des demandes clients que vous recevez par téléphone, mail et face à face.,Les opportunités d'évolutions sont devenir directeur d'agence puis directeur d'entité (groupe de plusieurs agence),Le management est correct, il faut faire son chiffre, respecter le code déontologique de l'entreprise et réaliser à temps les opérations de relances commerciales.,Les collaborateurs sont disponibles, le collectif fait parti de la culture de l'entreprise.,L'aspect le plus difficile de mon poste est la multiplicité des taches à effectuer dans le temps imparti d'une journée de travail.,L'aspect le plus agréable est la relation client et les services rendus.",BNP Paribas,3.0,"CONSEILLER PATRIMONIAL (Employé actuel), ",4.0,2.0,4.0,3.0,27 juillet 2015
"Environnement de travail rigoureux, compétitif et exigeant",Marseille,"Chargé d'Administration du Crédit est un poste qui traite de tâches précises et définies. Ce poste intervient dans l'appui au commercial dans la gestion de son fond de commerce allant de l'ouverture du compte (Entrée en relation avec la personne morale) jusqu'à la fermeture du compte. Il intervient également dans l'actualisation juridiques des dossiers clients et des éventuelles modifications afférentes à ces derniers.,Les missions principales de la cellule CAC sont:,-l’amélioration de la maîtrise du risque juridique,-la conformité et la fiabilité des référentiels clients.,-Assurer le suivi et la régularité juridiques des Entrée en Relation,-Assurer la fiabilité, la conformité et de l’actualité des informations client par l’actualisation constante de nos bases et des documents de référence.",BNP Paribas,5.0,"Apprenti Chargé d'administration du crédit (Ancien employé), ",5.0,5.0,5.0,4.0,25 juillet 2015
Esprit d'équipe,"Paris, A8",Convivialité et très bon esprit d'équipe au sein des services BNP PARIBAS.,BNP Paribas,0.0,"Stage Juridique, 6 mois (Ancien employé), ",5.0,5.0,3.0,5.0,21 juillet 2015
Travail sarisfaisant,Montreuil,Journée de travail toujours très satisfaisante pour l'employeur et moi-même.,BNP Paribas,4.0,"Ingénieur  réseaux, systèmes, sécurité (Employé actuel), ",4.0,4.0,4.0,4.0,20 juillet 2015
Très bonne opportunité pour un étudiant,"Paris, A8","Un premier pas dans le monde de la grande entreprise très intéressant. Les missions évoluent au fil de la période.,L'aspect le plus agréable est a bonne ambiance générale et la sympathie des collaborateurs.",BNP Paribas,5.0,"Auxiliaire de vacances à BNP Paribas (Ancien employé), ",3.0,5.0,3.0,3.0,17 juillet 2015
Environnement de travail agréable,"Versailles, A8","Très bonne expérience bien qu'elle fut brève !! Je la recommande. De plus, c'est un secteur porteur, avec une marge d'évolution assez importante.,On bénéficie aussi de nombreux avantages",BNP Paribas,4.0,"Auxiliaire de vacances (Ancien employé), ",4.0,5.0,5.0,5.0,17 juillet 2015
stage etudiant,lyon,"diverses mission ,encadrement comptent ,bonne ambiance de travail",BNP Paribas,5.0,"Sales person (Ancien employé), ",5.0,3.0,3.0,3.0,16 juillet 2015
Bonne entreprise mais attention aux promesses non tenues,Paris XVI Agence Saint Honoré D'Eylau,"Entreprise sachant bien formé ses salariés mais dont les propositions ne sont pas toujours respecté et peuvent nuire à la qualité de travail du salarié. ,Management plutôt bon d'un point de vue agence,Beaucoup d'opportunités si vous choisissez de vous investir à 100%,Des journées importantes mais riche en découvertes avec beaucoup d'humain mais également une partie commerciale importante.",BNP Paribas,3.0,"Chargé d'Affaires Professionnels PARIS XVI (Ancien employé), ",4.0,4.0,5.0,3.0,15 juillet 2015
Bonne stratégie,Paris,"Evolution pour tous les talents.,Marché de l'emploi au sein du groupe, ,perspective à l'internationale,Management ,Diversité",BNP Paribas,3.0,"Head of Support Front and Middle Office (Employé actuel), ",5.0,3.0,4.0,3.0,14 juillet 2015
Travail d'équipe,Nanterre,Le poste est varié et le travail en équipe est très important.,BNP Paribas,5.0,"Chargée de gestion administration du personnel (Ancien employé), ",5.0,5.0,5.0,5.0,8 juillet 2015
Environnement de travail agréable,"Amiens, B6","Remplacement au poste de conseillers clientèle lors de mes 2 années de formation en alternance. ,Sens commercial et sens du contact avec la clientèle.,Conseiller et orienter les clients sur des solutions adaptées à leurs besoins. En leurs proposant des placements bancaires et d'assurance mais aussi de prévoyance.,Et des solutions de crédits afin de développer le PNB de l'entreprise.",BNP Paribas,3.0,"Conseillère clientèle, contrat d'apprentissage (Ancien employé), ",4.0,5.0,1.0,2.0,8 juillet 2015
Middle office de marché,Paris,"ESPRIT EQUIPE,AMBITION,CLIENT FOCUS ,Tourné vers l'avenir,en constante évolution",BNP Paribas,5.0,"Gestionnaire Middle Office (Ancien employé), ",5.0,5.0,5.0,5.0,30 juin 2015
Environnement de travail très agréable,"Paris, 75002",Un éclairage de plus indispensable au monde de la communication et de la pub,BNP Paribas,5.0,"Chef de Publicité Internationale - stage (Ancien employé), ",5.0,4.0,3.0,4.0,30 juin 2015
Très bon groupe,Paris et Banlieue,"Groupe intéressant.,Bonnes possibilités d'évolution.,Travail en équipe.,Secteurs diversifiés et intéressants",BNP Paribas,5.0,"Secrétaire bilingue anglais (Ancien employé), ",5.0,5.0,5.0,5.0,26 juin 2015
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
Bonne ambience de travail,Montreuil,"Rien a signaler d'autre a propos de cette entreprise,pas d'avantages particuliers",BNP Paribas,4.0,"Technicien support - CDD (Ancien employé), ",4.0,4.0,4.0,4.0,23 février 2015
Poste satisfaisant,"Levallois-Perret, A8","Gestion tickets,Appel Téléphonique,Intervention sur place et a distance,livraison matériels",BNP Paribas,3.0,"Technicien Informatique (Employé actuel), ",4.0,4.0,4.0,3.0,19 février 2015
Un environnement de travail agréable,Rabat,Disponibilité du Management pour me former à l'analyse de bilan et à la préparation des dossiers de crédit pour la clientèle PME.,BNP Paribas,4.0,"Analyste crédit (Ancien employé), ",4.0,4.0,4.0,4.0,16 février 2015
Poste très intéressant et varié,"L'Isle-Adam, A8","Journées différentes et bien remplies.,Transmission et réception des appels / mails,Prospection et démarchage des apporteurs d'affaire,Accueil, réception et détection des besoins des prospects et clients,Vente des produits et services financiers,Montage des dossier de financement en crédit immobilier et personnel,Accompagnement des clients jusqu'à la signature notaire.",BNP Paribas,1.0,"Conseiller Clientèle / financier (Ancien employé), ",3.0,3.0,2.0,3.0,2 février 2015
environnement de travail agréable,"Cellule, 98","Ma journée débutait à 9h et se finissait à 17h,J'ai été chargé du traitement des courriers, de la mise à jour des bases de données des clients de la BNP, du contrôle des signataires de la banque, ainsi que du rangement des archives.,Ma pause déjeuner était d'une durée de 1h entre 12h et 13h ou 13h et 14h.,Travailler à la BNP m'a permis d'acquérir une première et vrai expérience dans le monde du travail en entreprise.,J'ai été très bien accueilli et tous étaient très disponible en cas d'incompréhension dans les taches qui m'on été confiés.",BNP Paribas,4.0,"Auxiliaire de vacances (Ancien employé), ",3.0,5.0,5.0,4.0,29 janvier 2015
bonne ambiance,montreuil,"prise de poste 8 h 30, réception courrier postal + navettes, tris par site, redistribution sur tous les sites. Temps en dehors de la redistribution : réception colis postaux et coursiers. Information auprès des personnes concernées. Renseignement des tableaux à la fin de chaque tournée et statistiques globales en fin de journée.",BNP Paribas,0.0,"Responsable service courrier (Ancien employé), ",0.0,0.0,0.0,0.0,26 janvier 2015
Assistant du manager marketing de l'offre du groupe,Luxembourg,"BGL BNP Paribas étant un groupe Internationale, les perspectives d'évolution sont intéressantes de part la mobilité internationale qu'il offre.,Le travail est structuré et les horaires sont contrôlé par un système de carte électronique ne laissant aucun doute quant aux heures réalisées.,Management à l'écoute de son équipe, cependant le demande d'autonomie reste un des aspects primordiale de l'entreprise.,Les collaborateurs étaient, lors de la réalisation de mon stage, très sympathique et à l'écoute lors de difficultés rencontrés.",BNP Paribas,4.0,"Assistant du Responsable Marketing (Ancien employé), ",4.0,5.0,4.0,4.0,14 janvier 2015
Environnement,"Saint-Ouen, A8",Environnement très agréable. Bonne organisation et bonne atmosphère.,BNP Paribas,4.0,"Auxiliaire d'été (Ancien employé), ",4.0,4.0,3.0,4.0,6 janvier 2015
Direction des risques,"Paris, A8",Une entreprise jeune et exigeante ou vous apprenez énormément.,BNP Paribas,5.0,"Assistant contrôle de gestion (Ancien employé), ",5.0,3.0,5.0,4.0,1 janvier 2015
Environnement de travail agréable,"Lille, B4","le cadre de travail est des plus agréable, une ambiance de travail chaleureuse. Chaque employé est considéré comme élément indispensable à la réussite collective.",BNP Paribas,5.0,"Conseiller Clientèle (Ancien employé), ",4.0,3.0,4.0,4.0,16 décembre 2014
ambiance de travail,"Angers, B5","ambiance agréable au quotidien, collègue de travail toujours présent et disponible",BNP Paribas,4.0,"agent de production domaine fraude (Ancien employé), ",4.0,3.0,3.0,3.0,19 novembre 2014
Entreprise de grande envergure.,PANTIN,Expérience enrichissante tant sur le plan professionnel que humain.,BNP Paribas,0.0,"Gestionnaire Back Office (Ancien employé), ",0.0,0.0,0.0,0.0,13 novembre 2014
Belle expérience,Paris,"Equipe très performante et accueillante,Nécessite d'avoir un bon esprit d'analyse et de synthèse,Expérience très enrichissante",BNP Paribas,5.0,"Analyste (Ancien employé), ",4.0,5.0,4.0,4.0,7 novembre 2014
"Une expérience plus qu'enrichissante, tant sur le niveau professionnel que sur le niveau sociale.",Rueil Malmaison,"Bonne ambiance de travail, bonne équipe, beaucoup d'entraide, j’étais une intérimaire considérée comme une salarié a part entière de la société, avec les mêmes avantages.",BNP Paribas,5.0,"Chargée gestion de contrats (Ancien employé), ",5.0,5.0,5.0,5.0,2 novembre 2014
x,St Amand,Expérience concluante sur les démarches commerciales entreprises,BNP Paribas,4.0,"Employé de banque (Ancien employé), ",4.0,3.0,4.0,4.0,30 octobre 2014
Qualité du travail,Orléans,"Accueil téléphonique tout au long de la journée. Ponctuellement nous sommes amenés à effectuer des appels sortants dans un but commercial.,Objectifs commerciaux et de durée de communication.,Travail répétitif et peu varié.,Perspectives d'évolution à moyen terme pour intégrer le réseau d'agence.",BNP Paribas,4.0,"Conseillère Banque en Ligne (Employé actuel), ",4.0,4.0,4.0,4.0,29 octobre 2014
Travail agréable,Pessac,"C'est un travail agréable, il y a beaucoup de contact avec les clients,ce qui m'a plu, on encaisse les chèques, on délivre les chéquiers, on fait les virements et les retraits, on s'occupe du courrier,et on prend les rendez-vous. Mes collègues étaient tous très gentils et je me suis vite entendue avec toute l'équipe.,Le plus difficile c'est lorsque des clients mécontents viennent se plaindre en nous criant dessus alors que ce n'est pas notre faute puisque l'on est nouveau à ce poste.,L'aspect le plus agréable c'est lorsque des clients discutent avec nous de tout et de rien pendant que l'on effectue leurs opérations.",BNP Paribas,5.0,"Chargée de clientèle (auxiliaire de vacances) (Ancien employé), ",4.0,4.0,5.0,5.0,21 octobre 2014
Environement de travail agréable,Boulogne-sur-Mer,"- Management de qualité,- Des collaborateurs agréables au travail. Fiers de travailler pour leur entreprise.,- Il est de plus en plus difficile à lutter contre les nouveaux canaux de communication, les RDV clients sont en baisses.,- L'adaptation aux nouveaux marchés se passe bien.",BNP Paribas,3.0,"Conseiller en développement de patrimoine (Employé actuel), ",5.0,4.0,4.0,4.0,21 octobre 2014
Stage,"Aix-en-Provence, B8","Très bon intégration pour le personnel employé, même en étant stagiaire j'ai très vite été mis à face à la clientèle, ce qui est glorifiant car on fait très vite confiance à l'employer pour qu'il progresse.",BNP Paribas,5.0,"Attaché commercial (stage) (Ancien employé), ",4.0,4.0,5.0,4.0,16 octobre 2014
Environnement de travail très agréable,"Paris, A8","Environnement de travail très agréable,Missions très intéressantes,Management accessible",BNP Paribas,5.0,"Chargée de communication (Ancien employé), ",3.0,5.0,4.0,5.0,14 octobre 2014
environnement de travail agréable,Paris 10,poste intéressant avec beaucoup de formations. bonne entente avec les collégues malgré une surcharge de travail.,BNP Paribas,0.0,"Gestionnaire Crédits Structurés (Ancien employé), ",0.0,0.0,0.0,0.0,6 juillet 2015
un métier riche et varié,"Rouen, A7","Le poste de chargé d'affaires professionnels est :,- passionnant car chaque nouveau dossier sera différent du précédent,- valorisant car notre rôle est utile et nécessaire à la création d'entreprises, de commerces....,-enrichissant car il permet de découvrir toute une variété de métiers différents et de grandir au contact d'entrepreneurs.,- difficile au regard du temps et de l’énergie nécessaire si' l'on veut si consacrer pleinement et si épanouir",BNP Paribas,5.0,"Chargé d'affaires professionnels (Employé actuel), ",4.0,3.0,4.0,3.0,13 octobre 2014
Etre conseillére clientéle est un poste qui demande beaucoup d'énergie,Noysi le grand,"* arrivée a l’heure sur son poste prête a décrocher le téléphoné , atteindre ses objectifs si possible les dépasser, toujours répondre a la demande du client avant une proposition de vente ...,*en fonction de notre investissement professionnel et selon nos besoins personnels et pro.,*Une équipe en symbiose tout en respectant nos objectifs perso.,*Un client a qui on ne peux répondre favorablement a sa requête pour x raisons.,* la dimension humaine, le contact et la communication avec le client malgré l outil téléphonique",BNP Paribas,5.0,"Conseiller Clientèle particulier (Ancien employé), ",5.0,3.0,5.0,2.0,11 octobre 2014
Environnement de travail agréable,Tournefeuille,"dès l'arrivée, regarder les différents risques de son portefeuille client (mouvements de compte, comptes débiteurs, etc...) et assurer ensuite une journée alternant entre prise de rendez-vous pour des besoins assez banals comme pour des opérations beaucoup plus complexes.,Un challenge commercial avec constamment de nouveaux produits est de rigueur.,Une ambiance d'entraide entre collaborateurs.",BNP Paribas,0.0,"Conseiller en patrimoine financier (Ancien employé), ",0.0,0.0,0.0,0.0,6 octobre 2014
