authorJobLocation,reviewHeadline,reviewDescription,reviewDate,authorJob,company
Paris France,,I worked in Air Liquide France and I found the team friendly and supportive through out my assignment period. The Management / the team were open to ideas and I was given complete freedom during my assignment.,9 août 2015,"Manager - Quality, HSE and Risk Management",Air Liquide
Paris,,"The executive assistants are not used properly as they are in the company for more that 30 years, so no innovation in the job itself.,Very boring days (talking of my part), there is no added value to bring as the company is self sufficient since décades.,The management is a top level one.,Co-workers have nothing to learn as everything seems always clear and done because since 30 years, they do the same jobs.,The hardest part of the job: no change is required in the EA's productivity even if there is great need to change some things in the job, bring some innovation for example.,The most enjoyable part of the job is the fact that the EA is not overloaded and sometines feels bored.",30 septembre 2014,Executive Assistant to the Vice President,Air Liquide
France,,"This first full time experience was great because I learnt how to manage my working time and how to prepare some production meetings. I learnt more things regarding the purchases. This firm was just the middle of the supply chain so it was very interesting to know how it worked. Some raw materials were manufactured around the world, the first step of manufacturing the product was in USA, the final step of the manufacturing happened was in France and then we has customers all around the world.,Great experience.",28 septembre 2013,International purchasing assistant - import dept,Air Liquide
"Longmont, CO",,The AirGas purchase closed many Air Liquide plants. North America is now being run by Airgas. Company will not be anything like it was.,7 juillet 2016,Gravimetric Blender,Air Liquide
"Longmont, CO",,"Overall, not a bad place to work.,People worked together well.,Upbeat atmosphere.,No room for advancement at this location.,Relaxed but safe work environment.",30 juin 2016,Cylinder Preparation,Air Liquide
"Malta, NY",,Great Company to work for...They take care of their workers. Are very into safety and procedures. They provide a lot of training.,15 juin 2016,Gas Specialist,Air Liquide
"Scotford, AB",,The team of operators were very open and able to share their experiences and knowledge. they take you under their arm and show you what is required and done the Air liquide way.,9 juin 2016,Co2 operator,Air Liquide
"Chanhassen, MN",,"If you think building things is fun and need a temp job, the Air Liquide in Chanhassen is a great place to work.  Staff is easy going.  The only drawback is that there is pretty fierce competition to become a full time employee.",5 juin 2016,Electrical Mechanical Assembler,Air Liquide
"Johannesburg, Gauteng and mpumalanga",,"get in the morning and start the day doing plant checks ,I Learned a lot at Air Liquide,I enjoyed working with my co workers ,there was no place to grow in the company",25 mai 2016,"Maintenance, Safety Officer and Facility Manager",Air Liquide
Sydney Western Suburbs NSW,,"There was never a typical day in this role as many different challenges would appear each day. This made the role very interesting and challenging in terms of the many aspects of production, maintenance, quality and customer interaction.,The hardest part of this job was managing to achieve production levels consistently and with excellent quality during the peak season of production that usually ran for 4 months of the year. Although the rest of the year was busy our clients always loaded the factory with huge new orders on the run it to Christmas.,The most enjoyable parts of this job was receiving regular recognition and appreciation for the achievements made and continually maintaining very high quality levels which were internationally audited  and rated",20 mai 2016,Plant Manager,Air Liquide
"Houston, TX",,"I enjoyed working at Air Liquide.  Everyday I learned something new.  Great co-workers and boss.  I picked up a lot from working there, from Plot Plans, to Electrical drawing.",18 mai 2016,Engineering Designer/Drafter,Air Liquide
"La Porte, TX",,There are different sections to Air Liquide so I can't speak about all of them. The department I was with however was more worried about money than safety of its operators.,9 mai 2016,Logistics Analyst,Air Liquide
"Cambridge, MD",,Work second shift by myself without supervisor.  I have work for Air Liquide for 14 plus years.  I'm still an employee there.  The plant might be closing up.,5 mai 2016,Shipping Clerk,Air Liquide
"West Palm Beach, FL",,"Managed an Industrial Gas Manufacturing Complex whose main emphasis was in supporting NASA, Hospital medical gases, electronic industry specialty gases and high pressure pipeline supply to Pratt & Whitney R&D flight line.",20 avril 2016,ASSISTANT INDUSTRIAL GAS COMPLEX FACILITY MANAGER,Air Liquide
"Augusta, GA",,"overall great company. really enjoyed my time there. pay was competitive and the health benefits were great. i worked with a great group of guys, still keep in contact with them.",18 avril 2016,Cylinder Filler & Blender,Air Liquide
"Johannesburg, Gauteng",,The variety of projects undertaken makes Air Liquide a good place to work. An engineer will get good experience here. I recommend,13 avril 2016,Senior Process Engineer,Air Liquide
"Houston, TX",,Great co workers hardest part of the job is not knowing what will happen next. After the purchase of airgas. There has been alot of layoffs and in the company.,12 avril 2016,Quality Assurance Manager,Air Liquide
"Sunshine North, Victoria",,"Excellent always enjoyed going to work, everyday new challenges may come to light.  Have never had any issues with management  and have many friendships with co-workers have never felt that anything was too hard with the job.  A very friendly environment.",4 avril 2016,Credit Officer/Accounts Receivable,Air Liquide
"Wilmington, CA",,"I spend a lot of alone and quiet time at work which is nice sometimes.Typical day at work usually includes walking around the process plant and taking readings, making sure all pressures and temps are around correct areas. We have monitors in our control room where we spend most of our time where we can view and make changes to the process if needed. Occasionally we fill railcars with CO2 to ship out.",24 mars 2016,Production Technician/ CO2 Plant Operator,Air Liquide
"Houston, TX",,"Air Liquide is a very nice company to work for. They believe in investing in their employees and have a structured career growth plan for most, if not all employees. Work-life balance is good and for most part of time the upper management is genuinely interested in listening to what the employees have to say.",15 mars 2016,Process Risk Management Specialist,Air Liquide
"Highveld, Gauteng",,"I can work long hours and is committed to my work, I can work without supervision. my health is in excellent condition ( Comrades Runner ) and will is willing to go the extra mile.very",26 février 2016,Tanker specialized technician,Air Liquide
Paris France,,I worked in Air Liquide France and I found the team friendly and supportive through out my assignment period. The Management / the team were open to ideas and I was given complete freedom during my assignment.,9 août 2015,"Manager - Quality, HSE and Risk Management",Air Liquide
"Houston, TX",,"Since I was in the work study program, I was limited to only work 20 hours per week and was only allowed to work there as long as I was attending school.",17 février 2016,Systems Technician,Air Liquide
"Calgary, AB",,"Air Liquide claims to be an international company and that is true as far as them having offices in locations around the world. However, these offices don't work well together. In fact I have witness how employees badmouth other centres while officially praising their great collaboration, which in fact is not working at all. They prefer if employees relocate temporarily instead. ,Relocating to Calgary with Air Liquide was a nightmare, it was so badly organized. Being sent on assignments is not pleasant, as the company does not make any efforts of making it easier for the employee. For example, expenses are reimbursed via cheque and in foreign countries there is no possibility of cashing them, so you pay out of pocket for everything until you return. Housing provided lacks the most basic things and broken items are not being fixed. It seems all very low-budget. ,Frequent hire and fire is common in this location and intellectual property is squandered. ,Employee management is poor due to the size of the office and everyone being managed from another location. Often jobs are given to employees in other centres instead because the manager finds it too much effort to manage his remote people. ,On the other hand, benefits and salary are good and there are many nice people working there.",12 février 2016,Engineer,Air Liquide
"Calgary, AB",,"There are many benefits to being an Air Liquide employee, excellent co workers, my immediate manager and upper management are all very down to earth. I receive vacation time, benefits, and a very fair wage. ,Unfortunately, I don't feel a though my goals are in alignment with what Air Liquide can offer.",7 février 2016,Inside Sales,Air Liquide
CNRL,,The work with my last company was challenging day by day.  They provided me opportunities to explore many areas such as cost versus production.  With the management team we were very successful in working together even in peak production.  The most difficult part of the project was to manage many activities in a very small area.  The most enjoyable part of the job was having the freedom to manage my area.,6 février 2016,Area Superintendent,Air Liquide
"Durban, KwaZulu-Natal",,"Its a good copany to work for ,but there a lot that they need to improve on .,Its is right company that you can grow interms of moving to high or managerial positios .",4 février 2016,INTERNAL SALES,Air Liquide
JHB South Africa,,"Fast paced, exciting place to work - great learning experiences. ,Interaction with internal and external customers - good opportunity to improve communication skills.,Typical day included national overview of plant storage levels and production rates. Operational meetings with planning team and transports to discuss and review variance analysis reports - including on time delivery, transport KPI's (cost ratios), safety stats. ,Great opportunity to learn, grow and interact with both internal & external customers. Senior management team was very approachable, with an open door policy which allowed for open communication and constructive brain storming.",27 janvier 2016,National Logistics Manager,Air Liquide
