sentence;package & benefits;work culture;job description & take outs;relationship with management;team;general appreciation;career & progression
EY is a fast paced Auditing firm where you can experience alot of learning growth;;1;;;;;
 There are varied responsiblilites depending on what client you are assigned too;;;1;;;;
 Management is very supportive in your growth;;;;1;;;
 Co-workers will often step in assist on assignments;;;;;1;;
 job is turn over of clients and out sourcing of jobs;;;1;;;;
Had a great time ;;;;;;1;
 Perfect Work culture with equal importance to all employees;;1;;;;;
Deloitte is a great organizations for any level of candidate;;;;;;;
" The company believes in ""Employee as an Asset"" values";;1;;;;;
 Lots of flexibility and accountability provided to its pratitioner's;;1;;;;;
 Good compentation;1;;;;;;
Awesome culture and people at Deloitte that is what it differentiates from other corporates;;1;;;;;
 Flexibility to work-from-home;1;;;;;;
 Open door policy;;1;;;;;
 One can directly go to top level management in case of any queries;;;;1;;;
 not many opportunities to grow from a vendor company;;;;;;;1
 people visits the country we can get involved with them more and they are really supportive and helpful;;;;;1;;
Great place to work;;;;;;1;
little work life balance;;1;;;;;
" There is room to advance, but it is very competitive for contract employees who are all fighting for the same 'transistion"" positions";;;;;;;1
My experience in Google was incredible;;;;;;1;
 I found a very diverse and multicultural workplace;;1;;;1;;
 I had the opportunity to work with very talented people, in an amazing culture and environment;;1;;;1;;
,They appreciate new ideas and people are encourage to share it with other teams;;1;;1;1;;
 Although Google is a serious workplace, they also encourage workers to have fun;;1;;;;;
" ""Work hard, play harder""";;1;;;;;
,During my experience in Google, I had to work with huge amounts of data to analyse and develop the most accurate policy models for the Portuguese and Brazilian markets, and search and identify new trends and patterns;;;1;;;;
Awesome place to work at,good culture,great exposure,Integrated;;1;;;;1;
When I work with my Manager I have adopt more things from him;;;;1;;;
 and it helps me lot but my co-workers says your are change like your Manager;;;;;;;
 i don't know its good or bad;;;;;;;
The typical work day is very busy but there are a lot of opportunities to develop your skills;;;1;;;;
productive and fun;;;;;;;
 a typical day at work;;;1;;;;
 what you learned;;;;;;;
Google was a great place to work;;;;;;1;
 your co-worker;;;;;1;;
the hardest part of the job;;;1;;;;
the most enjoyable part of the job;;;1;;;;
I enjoy working at Deloitte i have been learning so many things such as process knowledge, management skills team work, coordination etc;;;1;;;;
 The most enjoyable part of the job is the process which i do, i enjoy with what i am doing and the hardest part of the job is nothing but handling alone the region which i am handling right now;;;1;;;;
,I enjoy with my co-workers and my clients, i have learned so many things from them;;;;;1;;
 And work from home option is one of the best thing which emplioyees have here;1;;;;;;
A typical day at work was exactly that, it was typical;;;1;;;;
 I had a set amount of instructions to follow and a certain quota I was to meet everyday;;;1;;;;
 The only thing that changed were the books we had to scan and the quality in which we got those books but all in all,;;;1;;;;
,I learned the importance in the quality of your work and the effectiveness of listening attentively;;1;;;;1;
 Google was the best work experience because it taught me the importance of being on-time and how tardiness/absent affected the company as a whole;;1;;;;1;
,Management at Google was always fair and understanding;;;;1;;;
 I wouldn't have work under anyone else;;;;;;1;
 My supervisors were very efficient in the work they had to do and in overseeing that we were up to par;;;;1;;;
,My co-workers at Google were always fun and easy to get along with;;;;;1;;
 Some of which I can now say I have formed personal relationships with;;;;;1;;
,The hardest part of the job was working with very fragile books in which it was either easy to tear, or hard to open;;;1;;;;
,The most enjoyable part of the job was the job in itself;;;1;;;;
 I am a very social person and the job helped me be social without messing with or up my work at hand;;;;;;;
Deloitte is my first Employer, after my post graduation;;;;;;1;
My work experience in Deloitte had been good;;;;;;1;
This is a great place to work and the people make it worth it;;;;;1;1;
 It is hard to get a work life balance if you want to advance or get ahead;;1;;;;;
You get more experience than you would working in easy 9-5 jobs but it comes at the cost of long work hours, working over weekends and even holidays;;1;;;;1;
 ,Pay is not competitive in Finance roles when compared to other companies;1;;;;;;
 But working for here is comparable to going to a prestigious school, once you're done with it you'll have a really big name to back you up;;;;;;1;
,There is a focus on work-life balance but it is all bluff and not real;;1;;;;;
 If you work your 40 hours a week you're seen as lazy and same if you take advantage of working from home;;1;;;;;
 The culture is work extended hours regardless if there isn't any work to get through;;1;;;;;
,Work politics are a big part of this firm, network yourself well and you'll move up quickly and you'll have a good time working;;;;1;;;
 But do the opposite and you'll hate what you do;;;;;;1;
A typical day at work would be receiving stock deposits and withdrawals on a daily basis;;;1;;;;
 I have learned various things that I have never experienced before like working in a banking firm, how to use SWIFT and other financial day to day procedures;;;1;;;;
 Very supportive management and co-workers;;;;1;1;;
 The hardest part was not getting anything wrong and the most enjoyable was the challenge and accomplishing everyday as it came;;;;;;1;
Wonderful people here;;;;;;1;
 The core product (AdWords) sells itself, so you are mainly an executor and a communicator, which makes the job much easier;;;1;;;;
I am no longer an employee due to downsizing;;;;;;;
 I worked there for almost 25 years;;;1;;;;
 I was a part of a virtual team in the Business Support Center in the midwest region;;;1;;;;
 We supported local, regional and national customers on a daily basis creating, editing and finalizing financial statements for government filing and daily customer deadlines using Microsoft office 2007;;;1;;;;
 I was also responsible for local print production work and customer intake for the Milwaukee office;;;1;;;;
 I was the face of the support center for Milwaukee;;;1;;;;
This company really lives up to its values and has a great culture;;1;;;;1;
 I really enjoy working here;;;;;;1;
EY is a great company to work for and has many opportunities to move upward based on personal goals;;;;;;1;
Execute Consulting services for clients within the risk management practice;;;1;;;;
Deloitte participates in community services, raising donation in house, etc;;;1;;;;
 It is mandatory for employees to participated in pro-bono work for a day of the year;;;1;;;;
 This is what I like most about Deloitte, it gives back to the community;;;;;;1;
Bank accounts reconciliation;;;1;;;;
 Daily forecast;;;1;;;;
 Payments (salaries, national and international vendors, taxes;;;1;;;;
 The most enjoyable part of my job was team working;;;;;1;;
It was a good experience to work with Accenture;;;;;;1;
 I have gained a lot of technical and business knowledge during my 4 years of experience;;;;;;1;
 Work environment is very friendly and productive;;1;;;;;
Working on the AXA Sales Desk gave me great learning experience in being involved with every step of the sales process;;;1;;;;
 Learning about the competitive products through rigorous training, presenting on a large stage to clients and end users of the products, and dealing with the back office to track new business were all highlights of what enhanced the development of my experience at AXA;;;1;;;;
A typical night for me (since i work the night shift, 6pm to 6:30am) is I clock into work, and as a group, the day shift gives report of urgent cases that needs continued attention, the night shift then splits up those urgent cases and we begin to work those cases along with other cases that are loaded into 3 different servers;;;1;;;;
 The details as to what is involved in working cases i can discuss in person;;;1;;;;
,Regards,,Marlon D;;;;;;;
 Brown;;;;;;;
When you work in a big company that provides the best services to best clients, you can learn every day;;;1;;;;
Very rewarding and challenging place to work;;1;;;;1;
